Log,LoggingLevel,Method
Number of connection processing threads: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Notification from observer: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Number of connection processing threads: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Number of connection processing threads: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
"Notification state unrecognized: <*> (n.state), <*>(n.sid)",warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Ignoring notification for non-cluster member sid <*> from sid <*>,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Ignoring notification for sid <*> from non-quorum member sid <*>,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Number of connection processing threads: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
Number of connection processing threads: <*>,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote lookForLeader()>
"LearnerHandler is too far behind (x<*> < x<*>), disconnecting <*> at <*>",error,"<org.apache.zookeeper.server.quorum.ObserverMaster: long startForwarding(org.apache.zookeeper.server.quorum.LearnerHandler,long)>"
"finished syncing observer from retained commit queue: sid <*>, queue head x<*>, queue tail x<*>, sync position x<*>, num packets used <*>, num bytes used <*>",info,"<org.apache.zookeeper.server.quorum.ObserverMaster: long startForwarding(org.apache.zookeeper.server.quorum.LearnerHandler,long)>"
Client environment:,logEnv,<org.apache.zookeeper.ZooKeeper: void <clinit>()>
Problems loading <*>,warn,<org.apache.zookeeper.server.auth.ProviderRegistry: void initialize()>
Failed to restore old socket timeout value of <*> ms,warn,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
"Socket mode detection timed out after <*> ms, assuming PLAINTEXT",warn,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
Failed to restore old socket timeout value of <*> ms,warn,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
Failed to restore old socket timeout value of <*> ms,warn,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
Accepted TLS connection from <*> - <*> - <*>,info,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
Accepted plaintext connection from <*>,info,<org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket: void detectMode()>
<*>,logTopPaths,"<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void dumpTopRequestPath(java.io.PrintWriter,java.lang.String,int)>"
Failed to verify host address: <*> attempting to verify host name with reverse dns lookup,debug,"<org.apache.zookeeper.common.ZKTrustManager: void performHostVerification(java.net.InetAddress,java.security.cert.X509Certificate)>"
Failed to verify host address: <*>,error,"<org.apache.zookeeper.common.ZKTrustManager: void performHostVerification(java.net.InetAddress,java.security.cert.X509Certificate)>"
Failed to verify hostname: <*>,error,"<org.apache.zookeeper.common.ZKTrustManager: void performHostVerification(java.net.InetAddress,java.security.cert.X509Certificate)>"
"SASL authorization completed, <*> is not authorized to connect",error,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
Successfully authenticated learner: authenticationID=<*>;  authorizationID=<*>.,info,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
"SASL authorization completed, authorized flag set to <*>",debug,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
Got more than just an xid! Len = <*>,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
QuorumPeer responder thread exited,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
Unexpected runtime exception in ResponderThread,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
QuorumPeer responder thread exited,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
Unexpected IO exception in ResponderThread,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
QuorumPeer responder thread exited,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
QuorumPeer responder thread exited,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$ResponderThread: void run()>
Not able to load class or method for com.sun.managment.UnixOperatingSystemMXBean.,warn,<org.apache.zookeeper.server.util.OSMXBean: java.lang.Long getOSUnixMXBeanMethod(java.lang.String)>
Added JvmPauseMonitor to server,info,"<org.apache.zookeeper.server.ZooKeeperServer: void <init>(org.apache.zookeeper.server.util.JvmPauseMonitor,org.apache.zookeeper.server.persistence.FileTxnSnapLog,int,int,int,int,org.apache.zookeeper.server.ZKDatabase,java.lang.String)>"
Shutting down LearnerSender,info,<org.apache.zookeeper.server.quorum.LearnerSender: void shutdown()>
Waiting for dead watchers cleaning,rateLimitLog,<org.apache.zookeeper.server.watch.WatcherCleaner: void addDeadWatcher(int)>
Got interrupted while waiting for dead watches queue size,info,<org.apache.zookeeper.server.watch.WatcherCleaner: void addDeadWatcher(int)>
"Closing connection to leader, exception during packet send",warn,<org.apache.zookeeper.server.quorum.SendAckRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Ignoring error closing the connection,debug,<org.apache.zookeeper.server.quorum.SendAckRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void stat(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void stat(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void stat(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void stat(java.lang.String,int)>"
No buffered timestamps for messages <*> <*>,info,"<org.apache.zookeeper.server.util.MessageTracker: void logMessages(java.lang.String,org.apache.zookeeper.server.util.CircularBuffer,org.apache.zookeeper.server.util.MessageTracker$Direction)>"
Last <*> timestamps for messages <*> <*>:,warn,"<org.apache.zookeeper.server.util.MessageTracker: void logMessages(java.lang.String,org.apache.zookeeper.server.util.CircularBuffer,org.apache.zookeeper.server.util.MessageTracker$Direction)>"
QuorumPeer communication is not secured! (SASL auth disabled),info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setQuorumSaslEnabled(boolean)>
<*> set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setQuorumSaslEnabled(boolean)>
<*> thread started,info,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
Error closing watch service,warn,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
<*> thread finished,info,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
Error closing watch service,warn,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
<*> thread finished,info,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
Error in runLoop(),warn,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
Error closing watch service,warn,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
<*> thread finished,info,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void run()>
Unregister MBean <*>,debug,"<org.apache.zookeeper.jmx.MBeanRegistry: void unregister(java.lang.String,org.apache.zookeeper.jmx.ZKMBeanInfo)>"
Could not register connection,warn,<org.apache.zookeeper.server.quorum.FollowerZooKeeperServer: boolean registerJMX(org.apache.zookeeper.server.quorum.LearnerHandlerBean)>
could not find learner master address=<*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer validateLearnerMaster(java.lang.String)>
could not find learner master sid=<*>,warn,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer validateLearnerMaster(java.lang.String)>
"cannot validate request, observer masters not enabled",info,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer validateLearnerMaster(java.lang.String)>
Processing <*>,debug,<org.apache.zookeeper.ZooKeeperMain: boolean processZKCmd(org.apache.zookeeper.ZooKeeperMain$MyCommandOptions)>
Snapshotting: x<*> to <*>,info,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void save(org.apache.zookeeper.server.DataTree,java.util.concurrent.ConcurrentHashMap,boolean)>"
Deleted empty snapshot file: <*>,info,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void save(org.apache.zookeeper.server.DataTree,java.util.concurrent.ConcurrentHashMap,boolean)>"
Could not delete empty snapshot file: <*>,warn,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void save(org.apache.zookeeper.server.DataTree,java.util.concurrent.ConcurrentHashMap,boolean)>"
Got zxid x<*> expected x<*>,warn,<org.apache.zookeeper.server.quorum.Follower: void processPacket(org.apache.zookeeper.server.quorum.QuorumPacket)>
,logRequest,<org.apache.zookeeper.server.quorum.Follower: void processPacket(org.apache.zookeeper.server.quorum.QuorumPacket)>
Received an UPTODATE message after Follower started,error,<org.apache.zookeeper.server.quorum.Follower: void processPacket(org.apache.zookeeper.server.quorum.QuorumPacket)>
Unknown packet type: <*>,warn,<org.apache.zookeeper.server.quorum.Follower: void processPacket(org.apache.zookeeper.server.quorum.QuorumPacket)>
BufferUnderflowException ,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$SendWorker: void send(java.nio.ByteBuffer)>
%nHere are the top Read paths:,info,<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void lambda$start$5()>
 <*>,logTopPaths,<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void lambda$start$5()>
%nHere are the top Write paths:,info,<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void lambda$start$5()>
 <*>,logTopPaths,<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void lambda$start$5()>
Unable to start jline,debug,<org.apache.zookeeper.ZooKeeperMain: void run()>
Ignoring acl <*> as it does not exist in the cache,info,<org.apache.zookeeper.server.ReferenceCountedACLCache: void removeUsage(java.lang.Long)>
"first byte <*> does not match TLS handshake, failing to plaintext",debug,"<org.apache.zookeeper.server.NettyServerCnxnFactory$DualModeSslHandler: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>"
,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: boolean askForFix(java.util.Scanner)>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.LeaderZooKeeperServer: void unregisterJMX(org.apache.zookeeper.server.quorum.Leader)>
Error creating upgrade request,info,<org.apache.zookeeper.server.quorum.ObserverRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Unexpected error in upgrade,error,<org.apache.zookeeper.server.quorum.ObserverRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
"Initialize file found, an empty database will not block voting participation",info,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: long restore(org.apache.zookeeper.server.DataTree,java.util.Map,org.apache.zookeeper.server.persistence.FileTxnSnapLog$PlayBackListener)>"
"No snapshot found, but there are log entries. Something is broken!",<init>,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: long restore(org.apache.zookeeper.server.DataTree,java.util.Map,org.apache.zookeeper.server.persistence.FileTxnSnapLog$PlayBackListener)>"
<*>This should only be allowed during upgrading.,warn,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: long restore(org.apache.zookeeper.server.DataTree,java.util.Map,org.apache.zookeeper.server.persistence.FileTxnSnapLog$PlayBackListener)>"
"Unexpected empty data tree, setting zxid to -",warn,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: long restore(org.apache.zookeeper.server.DataTree,java.util.Map,org.apache.zookeeper.server.persistence.FileTxnSnapLog$PlayBackListener)>"
<*> value is <*> Bytes,info,<org.apache.zookeeper.ClientCnxnSocket: void initProperties()>
channel is told closing,info,<org.apache.zookeeper.ClientCnxnSocketNetty: void onClosing()>
,printHelpAndExit,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void main(java.lang.String)>
Digest got from data tree is: <*>,debug,<org.apache.zookeeper.server.PrepRequestProcessor: long getCurrentTreeDigest()>
Digest got from outstandingChanges is: <*>,debug,<org.apache.zookeeper.server.PrepRequestProcessor: long getCurrentTreeDigest()>
Shutting down,info,<org.apache.zookeeper.server.SyncRequestProcessor: void shutdown()>
Interrupted while wating for <*> to finish,warn,<org.apache.zookeeper.server.SyncRequestProcessor: void shutdown()>
Got IO exception during shutdown,warn,<org.apache.zookeeper.server.SyncRequestProcessor: void shutdown()>
Got request processor exception during shutdown,warn,<org.apache.zookeeper.server.SyncRequestProcessor: void shutdown()>
Opening channel to server <*>,debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
SSL handshake complete with <*> - <*> - <*>,info,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Connected to server <*> using election address: <*>:<*>,debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Cannot open secure channel to <*> at election address <*>,warn,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Cannot open channel to <*> at election address <*>,warn,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
"Exception while connecting, id: <*>, addr: <*>, closing learner connection",error,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void initiateConnection(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Using <*> as watch manager,info,<org.apache.zookeeper.server.watch.WatchManagerFactory: org.apache.zookeeper.server.watch.IWatchManager createWatchManager()>
syncLimit set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setSyncLimit(int)>
Processing request:: <*>,debug,<org.apache.zookeeper.server.quorum.CommitProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Unable to abort file <*>,warn,<org.apache.zookeeper.common.AtomicFileOutputStream: void abort()>
Unable to delete tmp file during abort <*>,warn,<org.apache.zookeeper.common.AtomicFileOutputStream: void abort()>
Ignoring unexpected runtime exception,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void run()>
Ignoring unexpected exception,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void run()>
accept thread exitted run method,info,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void run()>
accept thread exitted run method,info,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void run()>
Unable to start JettyAdminServer,warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
Unable to start JettyAdminServer,warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
Unable to start JettyAdminServer,warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
Unable to start JettyAdminServer,warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
Unable to start JettyAdminServer,warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
"Unable to load jetty, not starting JettyAdminServer",warn,<org.apache.zookeeper.server.admin.AdminServerFactory: org.apache.zookeeper.server.admin.AdminServer createAdminServer()>
Error reading the error stream,warn,<org.apache.zookeeper.Shell$1: void run()>
The list of known four letter word commands is : <*>,info,<org.apache.zookeeper.server.command.FourLetterCommands: boolean isEnabled(java.lang.String)>
The list of enabled four letter word commands is : <*>,info,<org.apache.zookeeper.server.command.FourLetterCommands: boolean isEnabled(java.lang.String)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
Request failed ACL check,debug,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
Request has an invalid ACL check,debug,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
ACL check against non-existent node: <*>,debug,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
ACL check against illegal node path: <*>,debug,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
Uncaught exception in authWriteRequest with: ,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
IOException : <*>,error,<org.apache.zookeeper.server.ZooKeeperServer: boolean authWriteRequest(org.apache.zookeeper.server.Request)>
Accepted socket connection from <*>,debug,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: boolean doAccept()>
"Error accepting new connection: , <*>, ",rateLimitLog,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: boolean doAccept()>
LOG_ONLY,<init>,<org.apache.zookeeper.server.embedded.ExitHandler: void <clinit>()>
"handshakeThrottlingEnabled = <*>, <*> = <*>",info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void setOutstandingHandshakeLimit(int)>
,<init>,"<org.apache.zookeeper.server.persistence.TxnLogToolkit: void <init>(boolean,boolean,java.lang.String,boolean)>"
ACL digest algorithm is: <*>,info,<org.apache.zookeeper.server.auth.DigestAuthenticationProvider: void <clinit>()>
Error creating upgrade request,warn,"<org.apache.zookeeper.server.quorum.FollowerRequestProcessor: void processRequest(org.apache.zookeeper.server.Request,boolean)>"
Unexpected error in upgrade,error,"<org.apache.zookeeper.server.quorum.FollowerRequestProcessor: void processRequest(org.apache.zookeeper.server.Request,boolean)>"
Starting server,info,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
,setServerStats,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
Server interrupted,warn,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.ZooKeeperServerMain: void runFromConfig(org.apache.zookeeper.server.ServerConfig)>
ObserverRequestProcessor exited loop!,info,<org.apache.zookeeper.server.quorum.ObserverRequestProcessor: void run()>
Throttled request send as proposal: <*>. Exiting.,error,<org.apache.zookeeper.server.quorum.Leader: org.apache.zookeeper.server.quorum.Leader$Proposal propose(org.apache.zookeeper.server.Request)>
Proposing:: <*>,debug,<org.apache.zookeeper.server.quorum.Leader: org.apache.zookeeper.server.quorum.Leader$Proposal propose(org.apache.zookeeper.server.Request)>
Stopping ZK Server,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void close()>
Using TLS encrypted quorum communication,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setSslQuorum(boolean)>
Using insecure (non-TLS) quorum communication,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setSslQuorum(boolean)>
Session establishment request from client <*> client\'s lastZxid is x<*>,debug,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
Connection request from old client <*>; will be dropped if server is in r-o mode,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
"Refusing session request for not-read-only client , <*>, ",info,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
"Refusing session request for client , <*>,  as it has seen zxid x, <*>,  our last zxid is x, <*>,  client must try another server, ",info,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
"Client attempting to establish new session: session = x<*>, zxid = x<*>, timeout = <*>, address = <*>",debug,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
"Client attempting to renew session: session = x<*>, zxid = x<*>, timeout = <*>, address = <*>",debug,"<org.apache.zookeeper.server.ZooKeeperServer: void processConnectRequest(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
Failed to register with JMX,warn,"<org.apache.zookeeper.server.quorum.LeaderZooKeeperServer: void registerJMX(org.apache.zookeeper.server.quorum.LeaderBean,org.apache.zookeeper.server.quorum.LocalPeerBean)>"
Failed to register with JMX,warn,"<org.apache.zookeeper.server.quorum.LeaderZooKeeperServer: void registerJMX(org.apache.zookeeper.server.quorum.LeaderBean,org.apache.zookeeper.server.quorum.LocalPeerBean)>"
,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
txnEntry,printTxn,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
txnEntry,printTxn,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
txnEntry,printTxn,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
txnEntry,printTxn,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: void dump(java.util.Scanner)>
Halting listener,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void halt()>
Got interrupted before joining the listener,warn,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void halt()>
"ZooKeeper server is not running, so not proceeding to shutdown!",debug,<org.apache.zookeeper.server.ZooKeeperServer: void shutdown(boolean)>
shutting down,info,<org.apache.zookeeper.server.ZooKeeperServer: void shutdown(boolean)>
Error updating DB,error,<org.apache.zookeeper.server.ZooKeeperServer: void shutdown(boolean)>
ServerMetrics initialized with provider <*>,info,<org.apache.zookeeper.server.ServerMetrics: void metricsProviderInitialized(org.apache.zookeeper.metrics.MetricsProvider)>
Server address has not been initialized,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer: void recreateSocketAddresses()>
Election address has not been initialized,warn,<org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer: void recreateSocketAddresses()>
Deferring non-priming packet <*> until SASL authentication completes.,debug,"<org.apache.zookeeper.ClientCnxnSocketNIO: org.apache.zookeeper.ClientCnxn$Packet findSendablePacket(java.util.concurrent.LinkedBlockingDeque,boolean)>"
Error sending data synchronously ,error,<org.apache.zookeeper.server.NIOServerCnxn: void sendBufferSync(java.nio.ByteBuffer)>
Missing session x<*> for validation,warn,<org.apache.zookeeper.server.quorum.Learner: void revalidate(org.apache.zookeeper.server.quorum.QuorumPacket)>
Current configuration is at <*>,info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"ServerID:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"DataDir:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"Servers:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"ElectionPort:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"SyncLimit:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"PeerType:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"Distributed:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"SyncEnabled:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"MetricsProviderClassName:, <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
"Server: , <*>,  -> addr , <*>,  elect , <*>,  id=, <*>,  type , <*>, ",info,"<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void <init>(java.util.Properties,java.nio.file.Path,org.apache.zookeeper.server.embedded.ExitHandler)>"
Draining request throttler queue,info,<org.apache.zookeeper.server.RequestThrottler: int drainQueue()>
"Invalid path <*> with session x<*>, reason: <*>",info,"<org.apache.zookeeper.server.PrepRequestProcessor: void validatePath(java.lang.String,long)>"
saslClient.evaluateChallenge(len=<*>),debug,<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner$1: byte run()>
